"","1A","2A","3A","4A","5A","6A","7A","8A","9A","10A","11A","12A","13A","14A","15A","16A","17A","18A","19A","20A","21A","1B","2B","3B","5B","6B","7B","8B","9B","10B","11B","12B","13B","14B","15B","16B","17B","18B","19B","20B","21B"
"FBgn0000003",475.430029228806,619.176116163923,362.949859306039,391.17567344009,543.730321959091,4675.21891531935,681.49619288385,504.690012088326,330.953823324575,1057.2920592384,845.655498683348,1303.56043169854,560.630347099054,409.942896121416,400.454704529271,721.092754340365,674.457164470284,2860.2131641988,665.219985699767,841.571472449698,618.757217232837,1150.23685791244,584.959149009615,607.853226532955,775.535066735609,611.460467231987,1077.06400599806,794.901438446978,638.034379535829,644.38729771117,936.819743456943,676.458055911087,758.734287877384,685.033806751264,658.202797634269,604.398423280091,645.603378177321,696.768753108886,1257.1791708488,683.241396443097,535.858932238644
"FBgn0000008",334.914042812292,325.503862062958,347.570627979512,323.295188931369,465.906325495481,418.52208378066,760.598429557868,422.796915787201,431.547690596483,421.733603165439,411.943074606146,406.693730743388,376.119093623416,380.47825046269,354.94848810549,359.868658416103,393.952798470628,351.881487963932,342.504569296219,466.647941807939,679.836255843804,460.094743164977,279.610473226596,329.350132246943,392.417024175572,425.536715406976,339.364175443603,318.6726931288,373.634918755417,354.698140864025,383.600284925266,346.654662103902,345.015000983614,327.180325612544,417.471218869884,467.295644549159,439.664072733416,385.408580464839,498.066334731935,371.496272590733,399.483522748603
"FBgn0000014",323.292419875588,320.369731746508,289.129548938709,262.317804542178,260.450974831549,203.232946033407,283.956747034937,312.336460311266,309.829111197475,326.230803250219,284.676108467662,310.371531356796,326.442986918436,339.483960850548,310.579927092304,310.395189368315,315.411575990724,307.661087070069,295.315050859851,309.569887685856,289.461530808495,310.79869385226,312.368185571134,309.704685762038,319.265035466698,310.20433459574,319.336125745292,346.267255941629,330.188997969904,331.887971033541,317.057378356598,340.636351997932,303.195000864388,303.664239709142,303.199899836157,369.868911110136,327.705005884944,319.389518070399,318.19100915078,277.972735435024,287.903642256752
"FBgn0000015",574.742079778823,424.079164138807,509.565197952264,654.643994668857,519.864296376917,343.601463844616,632.817893392146,677.046412443018,589.480062213377,568.791011884449,622.101025269037,545.82579652402,578.371813779404,480.401831392285,536.973353800613,591.648472311221,504.907858799381,539.112547067735,495.489943581863,507.92392683272,583.349078907639,527.70050134432,462.117727717596,442.600353159927,649.688848872037,798.378463719164,645.348268056687,647.137005320216,607.001578974748,609.03153447392,641.943333956568,563.313825918841,606.390001728775,530.645590602845,572.880212755753,645.397003415065,514.031044143715,510.309509319184,484.429577196902,483.204941971164,511.063403240455
"FBgn0000017",1135.74951426881,1334.87388227711,1386.18138356431,1222.99923784358,1318.85732673665,585.586454672529,1295.0455927272,1166.50049963811,1206.12046859017,1255.05891923983,1083.44377752104,1252.18859202569,1165.61436089898,1120.937606582,1061.43249808469,1139.24522560729,1079.6301375809,1070.69821738758,1198.76599253677,1325.4177413513,1113.58595032748,1434.74442358385,1222.56462143009,1352.06896396114,1431.42323668467,1246.78280635595,1462.0476279767,1278.25136126524,1145.73099671512,1169.0212038123,1176.89611225371,1230.14258566037,1293.43286083034,1214.65695883657,1214.32321693174,1281.095417981,1206.21593188573,1401.56685164412,1238.34745806232,1052.13979300173,1111.66621675215
"FBgn0000018",274.692905776643,282.377167404774,307.584626530542,266.919871288532,295.731186561719,252.318869439781,278.886090837885,348.521781932693,271.60344163415,275.521351967802,303.933609922827,278.264131561265,306.927373570052,267.7439540293,260.523089026145,281.931001696985,312.918203848505,286.962176013367,305.970748571289,263.707682102767,269.101851271506,267.606126126568,279.610473226596,271.569407291339,319.265035466698,301.256132636247,293.744728908561,339.146078441544,260.675524713082,288.548648355621,326.190718473866,285.267899023003,288.259286536093,285.260346393437,269.680312919596,319.612587073717,297.467885641196,274.782043479561,266.241456636367,293.559991627643,267.240701424928
"FBgn0000022",0,0,0,0,0,0,0,0,0,0.845157521373625,0,3.21073997955306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22533885536789,0,0,0,0,0,0,1.0224385175392,0,0,0,0,0,0,0
"FBgn0000024",1261.47434422043,1083.30149677104,1077.57147494533,1211.49407097769,1062.55696504983,803.459062072749,1250.42381819313,1188.40214167213,1115.58598804545,1096.16930522159,1117.77236707155,1115.19701956476,1248.11218096261,1224.70440216273,1273.03640445527,1256.490570063,1169.39153470079,1292.74108145038,1374.58500477549,1368.98683665523,1388.8842258059,1310.80053358838,1175.76788950933,1135.96905262718,1102.85921960244,1265.6734549371,1246.18975900602,1087.75986313797,1204.07266176995,1183.84781420211,1249.96283319185,1173.57047066425,1202.32500342774,1454.93001045828,1356.01965253356,1427.89678556106,1308.36836514163,1544.3107703348,1362.37701469048,1415.84243749615,1394.05974145375
"FBgn0000028",229.262925205891,227.9553860504,184.550775918325,216.297137078638,251.112095255916,159.313961932967,247.44802241616,223.777646869352,234.383710743544,218.050640514395,215.181646694674,242.945991786182,193.381986815813,187.036446355396,224.11811588712,197.216157437074,157.082444959807,208.870829753991,206.263862842834,178.86260177405,174.385081251601,248.826748854528,195.376355769211,206.854995341063,251.072503619442,212.768357703488,232.547910385944,231.438268752759,153.922690782963,192.745935067589,178.752513723679,198.604233497027,210.593572028959,180.971617604438,181.310492866847,199.261916354924,174.88496573411,187.351393281519,188.966497271177,168.861942086697,144.64058582277
"FBgn0000032",672.997619152776,631.498028923404,683.863152986238,606.32229383214,655.79687686669,497.748486471649,668.312486771513,689.42560141877,704.157070903352,676.971174620273,737.646034000029,673.185149046292,697.239640537747,634.130417437816,708.759320800385,702.794347980224,670.717106256955,585.214667148571,621.836073588913,612.260444534249,654.165355558035,627.231200886132,586.129067307634,560.473032069359,711.062127534567,611.460467231987,690.967714591729,696.98524782081,608.242890997191,696.850688321283,694.133848912387,695.716648250193,583.986430236333,649.248458637392,644.490239350222,734.888527795706,693.819326674108,646.808381567148,588.328682225728,570.233789046615,549.634226126527
"FBgn0000036",302.162196354308,257.733341885812,274.775599700617,300.284855199598,266.676894548638,195.482537074506,329.592652808409,242.822552985893,283.674705706779,234.953790941868,274.628716404097,284.685611520371,278.541026881492,269.025025579679,271.89964313209,267.69890786132,266.79081921745,258.736388208773,243.558804832867,221.285141938408,228.382492197528,259.15540635415,267.911290246404,284.281166781572,251.072503619442,320.146781217398,265.927993216463,271.494892190737,247.021092466206,256.614410592944,296.18117237427,266.009306683897,246.439286416867,213.689650165693,243.778813938618,274.646402409553,286.026813116534,278.350641446828,261.695870791356,210.427958600346,219.027172817338
"FBgn0000037",337.02706516442,329.611166316118,378.329090632566,356.660172842435,346.576197584611,189.454441217583,385.369870975986,333.28585703946,345.036964742642,330.456590857087,336.587634129412,328.565724574263,313.136886908174,267.7439540293,328.782413661816,320.560970679504,302.944715279628,288.84389520034,319.670931343138,339.380321314865,327.525279508082,381.221358622409,313.538103869154,320.105216254047,388.077499421656,341.025919122881,387.208960834012,330.244606566438,319.017189767915,353.5576323725,332.714532843343,337.025365934349,313.650000894194,342.516903375632,316.912458120204,386.180174174588,334.242761613322,380.055683513938,374.686147510204,318.239813932621,323.719406365248
"FBgn0000038",2361.30247850307,2168.65664566867,2267.92397961853,2364.31179093937,2081.53249208003,1649.97595169495,2245.28656405483,1980.67023612022,2128.56623147356,1910.05599830439,2147.63005358692,2140.49331970204,2126.31478163992,1940.82339882483,1988.62165771922,1999.27032453391,1983.47753913534,1962.63311201273,1947.70931739783,1872.32454292964,1673.91973932374,2382.16400695826,2215.82525644842,2258.07073126501,2242.91436566701,2217.16559662981,2267.62029361988,2035.76661783677,1880.58771400152,2173.80918484511,2201.13496826165,2155.75867995864,1784.81786223125,1935.47611370171,1947.18327633471,2150.44165482151,2055.30695710881,2040.34588778492,1753.94676676787,1704.20667705959,1783.90055848083
"FBgn0000039",298.992662826116,277.243037088324,290.154831027144,295.682788453244,289.50526684463,223.039546706154,284.970878274348,257.106232573298,287.698460397655,256.082728976208,248.672953573222,269.702158282457,243.058093520792,244.68466612247,282.138541827441,257.53312655013,264.297447075231,267.204124550151,274.764776702078,216.698921380099,212.448829951189,323.005289079086,287.79990131273,302.770998767365,275.249855819833,327.106493852559,332.688158877499,267.044156253184,249.503716511093,282.846105898,301.400223869852,276.842264874644,204.619286297641,269.923768630349,249.873284287084,282.581611467935,249.251937144409,253.370455675959,260.397131978495,218.221586696655,224.537290372491
"FBgn0000042",20750.9360090733,21429.8599408641,30359.6279206529,26926.6925329173,23139.6682818468,20423.1887632554,20942.824225066,20241.8784659652,22059.2291540566,21447.5624198985,21139.7129017398,20906.1982535298,21128.3126696286,21889.6695813333,25026.1437222582,23871.2876749349,20698.7288386324,20420.4166170299,22946.2839003165,29958.3392420139,30296.9735579558,21708.9601264781,24379.9274124227,22609.5976751279,22386.3683412387,25109.6489429981,25888.4795739223,21180.1621796275,21672.0665998367,24307.6574798552,24241.1894341038,20411.7005554096,24702.177927567,28601.6950896416,28974.6356541919,29447.5608156554,25212.8549664895,23461.747335797,26518.2984503886,51986.0972784138,41947.1474179921
"FBgn0000043",4025.30758080389,4099.08964465403,5557.02891931845,4408.77994300713,4693.30581339879,3591.02281762418,4616.32540179655,4652.67056427087,3993.57653069472,4006.89180883235,4399.9204411693,4049.81336087626,3973.20146306434,3388.43425075358,3973.83034920665,4228.96502545477,3267.56419237821,3438.84181419297,3584.12003736865,3960.20145209981,3222.14058759303,3866.67378031301,4276.05137926028,4198.34747527419,4838.57010061665,3995.86929724448,5251.79969866821,4674.16288161823,3545.18713609791,3913.08463441951,4197.42216532171,3750.61085804083,4624.09715604012,4182.79597525287,4334.69203534606,4125.86786541092,4162.0987405786,3638.18562762873,3180.61135269494,10764.2993390189,7840.89728098293
"FBgn0000044",24540.6415976149,27391.6120643264,27991.2262963677,24256.3433033453,21035.3074174708,19045.338281673,19938.8342980496,24953.5882391973,22290.595048782,22859.8206381138,20133.2991300394,20997.1692196172,18797.9710211646,15704.6561361014,15674.6162471713,14464.5513683143,16634.5322468151,12986.6849688934,12690.1748530575,14713.7421061948,14491.6658130455,25314.6005627097,17663.4264634943,16555.3333142797,21232.6746888047,20026.0759853442,19482.8416787459,15076.4229148673,20723.70421469,16626.3327894397,17190.2508635727,14622.086233466,14680.3136132811,17988.7832775847,17506.366075967,14516.1424374667,13864.9454609575,13384.9188257268,14778.3489515376,14762.4305524255,15176.2412762806
"FBgn0000045",16753.097718847,16985.7567389446,14762.0115092891,17816.9014085095,14847.7808719707,15240.7486394035,14582.1930914834,17833.6500875286,14966.3555727144,14942.3849778857,12240.2353814375,13741.9671124871,10623.5902481935,12901.6715838712,9506.2486109278,9727.97499605414,10812.5082947334,9192.1982283626,7175.85128738834,8467.30970577796,6565.55404894986,21983.1390346499,10893.109272857,12146.6640001671,13679.4218885595,13276.1489739004,12539.784449998,10006.1445348068,12477.6684495995,12210.283910258,11213.1321382576,9709.94152497284,8605.95859596355,10356.2797441546,8861.35988666878,10198.0661748639,7455.49318874898,7485.13423634258,6471.615504483,4689.16623794597,5379.25226321826
"FBgn0000046",11513.8587967456,11739.7023815956,11663.6090380381,12020.5983414766,10745.9374316953,10598.2536730218,11747.6962773311,11139.3655875646,10413.4771399879,10048.9229291324,9847.2815049652,10248.6820147334,9567.08590737863,8669.01118141758,9139.92356871636,8886.92602224174,8752.98290526037,7966.25817804976,7687.32477753736,7693.38498656332,7057.72717167011,11805.6555220679,9636.61702078439,9737.2077695184,11153.1985496725,9598.43796854895,10371.191735442,8841.83201354292,9093.85187641923,8491.08571939763,8820.19702753334,9146.627699054,8897.20502536531,8461.70117115442,8737.94686211235,8127.85830052155,7511.06411244019,8113.20747858158,7207.35104196838,7550.72668730746,6329.74754148218
"FBgn0000047",1005.79863961294,1032.98701966983,1101.15296297934,1094.14136894566,996.147154734212,956.744928148793,986.749695946407,1379.80344814337,1259.43521824428,1195.89789274368,1130.33160715101,1842.96474826346,838.284300646528,1374.58977355712,927.189159634533,820.717411190021,819.072748718995,728.225325358511,548.768432139053,920.683777080528,396.571149242219,2133.33725810373,693.761550725403,666.789565987671,1055.74437941706,782.47054912451,959.121046663559,1304.06562970305,1540.46821985207,937.497980032888,1120.7913086762,860.618345153785,725.875716355135,1344.50665056405,1657.6959347826,774.564573087615,837.649952698422,526.368200171886,871.453743429279,420.855917200691,684.632106227779
"FBgn0000052",1678.79625876572,2477.73129071898,1539.97369682958,1329.99728969631,1382.15417719372,880.96315166176,1399.50111038648,1814.97955290632,2254.30856556344,2493.21468805219,1455.19728387293,1571.1220966613,1433.51050777226,2190.63235114882,2450.50975442059,2466.89626484862,1575.81119388251,2623.11654664022,3933.4746980508,4876.29900862203,4215.33886761483,1856.34144334114,2594.87878500665,2744.58443539119,1537.43162710177,1478.44181264059,1909.34073790565,2366.01122440321,2909.63538060697,2444.10969733635,1770.56321987615,1793.45641157922,2085.02572022998,2511.10899907627,3379.3838082241,3085.03294391982,1756.20463253552,5181.60424847172,5043.65217974308,7904.03782767347,6486.78589180405
"FBgn0000053",2081.32701684611,2805.28880490852,2210.50818266616,1952.42681714068,2154.16822211273,1123.80929904066,1466.43377218757,1764.51055169749,2894.08556141278,2838.88411429401,2195.35516588885,2251.79897232655,1931.15864815608,2330.26915014018,3212.73887951892,2889.11504864002,2265.22859120611,3840.58886061168,8113.55268599487,8823.88835418649,11227.9206629203,2373.71328718584,3570.59064555469,5585.08487420869,1871.57503315332,1598.74541676266,2319.91575672102,2718.50951065741,3938.68304721242,2908.2966533867,2438.60181131062,2185.85023048849,3293.32500938904,3748.25960529871,4910.61948327604,5308.21401510983,2911.75295752632,10389.9729816979,10212.6326549272,12345.1069045536,11764.100980252
"FBgn0000055",225.036880501635,110.89721483533,127.134978965957,104.697018479553,91.3134891839695,59.4198020182419,103.44138641987,170.451909743038,158.938310289614,134.380045898406,81.2164191804799,98.4626927062939,165.882713461271,236.998236820194,191.126108979879,235.846126419593,182.016166381999,269.085843737124,305.970748571289,314.156108244165,295.657955015404,226.29149612808,129.860931080134,172.1865603677,102.288797770884,143.17123135188,96.8022402085031,162.006788126932,187.43811538893,156.249663338815,112.20960715501,140.82845647971,152.344286148609,220.846719788467,242.255196351502,207.637970360994,158.540576413165,276.566342463194,312.346684492908,339.022822189446,269.995760202504
"FBgn0000057",1263.58736657256,1163.39392970767,1197.52947929224,1097.59291900543,1272.16292885848,923.159822660221,1237.2401120808,1269.34299266743,1108.54441733642,1140.96265385439,1119.44693241548,1060.61443991236,1251.66047429868,1182.42904100021,1158.13320798522,1150.76644442664,1058.43647437203,1158.19815958182,1229.21084314087,1155.72758069386,1182.63182006162,1268.54693472629,1021.33867417079,1154.45888461297,1525.65291705542,1209.00150919365,1220.59836216929,1233.74400188971,1179.24642132108,1088.04510091408,1063.3817422248,1160.33018843112,1365.12428960616,1114.45798411773,1188.42171795076,1090.20955563214,1189.87154256478,1298.9696600852,1243.54241331376,1179.43571857478,1075.85045264365
