gene_id,cluster
FBgn0033353,4
FBgn0040609,0
FBgn0039324,3
FBgn0033927,1
FBgn0010042,2
FBgn0028532,0
FBgn0000277,3
FBgn0052447,4
FBgn0000052,3
FBgn0022700,0
FBgn0041579,1
FBgn0053542,2
FBgn0034329,1
FBgn0032839,0
FBgn0040729,4
FBgn0036419,0
FBgn0261675,0
FBgn0032285,1
FBgn0035476,0
FBgn0040735,3
FBgn0033659,0
FBgn0033926,1
FBgn0005670,4
FBgn0031654,4
FBgn0083936,1
FBgn0261989,1
FBgn0029765,3
FBgn0033294,3
FBgn0263081,0
FBgn0039611,0
FBgn0034784,2
FBgn0085358,0
FBgn0015570,0
FBgn0041194,3
FBgn0030098,3
FBgn0040099,3
FBgn0036833,3
FBgn0259229,4
FBgn0038172,3
FBgn0261632,2
FBgn0038135,0
FBgn0003068,0
FBgn0033327,4
FBgn0035679,3
FBgn0262357,0
FBgn0263336,0
FBgn0037973,3
FBgn0031055,0
FBgn0259817,2
FBgn0262881,4
FBgn0261930,4
FBgn0013278,0
FBgn0085227,0
FBgn0261859,3
FBgn0035806,3
FBgn0001089,0
FBgn0039319,0
FBgn0033366,0
FBgn0036320,4
FBgn0032282,4
FBgn0044810,3
FBgn0031925,0
FBgn0038098,0
FBgn0037635,0
FBgn0039769,0
FBgn0033936,0
FBgn0035666,3
FBgn0032639,2
FBgn0040104,4
FBgn0262838,0
FBgn0031860,0
FBgn0037697,0
FBgn0051463,4
FBgn0067905,3
FBgn0033301,0
FBgn0032049,1
FBgn0032066,4
FBgn0283427,1
FBgn0052284,4
FBgn0039091,4
FBgn0041184,0
FBgn0051148,0
FBgn0035673,3
FBgn0262150,0
FBgn0036587,4
FBgn0053509,4
FBgn0013277,0
FBgn0265577,0
FBgn0034647,0
FBgn0035619,0
FBgn0020506,0
FBgn0054054,0
FBgn0267513,2
FBgn0033453,0
FBgn0036876,3
FBgn0024289,1
FBgn0031490,4
FBgn0043791,4
FBgn0039299,4
FBgn0033733,3
FBgn0039613,4
FBgn0066365,2
FBgn0030157,3
FBgn0039325,3
FBgn0038463,3
FBgn0053117,2
FBgn0004426,4
FBgn0014396,1
FBgn0033978,3
FBgn0031032,2
FBgn0039666,0
FBgn0032835,1
FBgn0035620,0
FBgn0000964,4
FBgn0031033,4
FBgn0083970,0
FBgn0263090,0
FBgn0038838,2
FBgn0030925,0
FBgn0013279,0
FBgn0052302,2
FBgn0028534,1
FBgn0035176,3
FBgn0036948,4
FBgn0015586,1
FBgn0040211,0
FBgn0085813,1
FBgn0034276,0
FBgn0052283,2
FBgn0038082,4
FBgn0050098,4
FBgn0039759,4
FBgn0262366,4
FBgn0034247,1
FBgn0028646,1
FBgn0036951,2
FBgn0262007,3
FBgn0028855,2
FBgn0032387,0
FBgn0033216,2
FBgn0035412,2
FBgn0039241,3
FBgn0051089,2
FBgn0039474,0
FBgn0033153,0
FBgn0040582,1
FBgn0034117,3
FBgn0031929,0
FBgn0031471,2
FBgn0028920,1
FBgn0038717,0
FBgn0051354,0
FBgn0261925,2
FBgn0031940,4
FBgn0051104,3
FBgn0029828,3
FBgn0053532,4
FBgn0036262,1
FBgn0050489,3
FBgn0040251,2
FBgn0030326,4
FBgn0034887,0
FBgn0033792,0
FBgn0031389,4
FBgn0051004,3
FBgn0035743,4
FBgn0016694,1
FBgn0029990,1
FBgn0038790,3
FBgn0020509,1
FBgn0051778,0
FBgn0267755,4
FBgn0264541,0
FBgn0259711,0
FBgn0003961,1
FBgn0036208,0
FBgn0033593,3
FBgn0039073,4
FBgn0031560,3
FBgn0010041,3
FBgn0019928,0
FBgn0035076,3
FBgn0034331,1
FBgn0042105,0
FBgn0035667,0
FBgn0034618,3
FBgn0020906,0
FBgn0030331,4
FBgn0038257,1
FBgn0030148,0
FBgn0035734,0
FBgn0038973,3
FBgn0032069,3
FBgn0259237,0
FBgn0043578,1
FBgn0000278,4
FBgn0283462,1
FBgn0053306,0
