immune_process,functional_class,hours,mean_log2_cpm,n_genes
Anti-viral,Anti-viral,0,5.552900249601576,16
Anti-viral,Anti-viral,1,5.623094424844216,16
Anti-viral,Anti-viral,2,5.698314848164813,16
Anti-viral,Anti-viral,3,5.58115741655881,16
Anti-viral,Anti-viral,4,5.741150289274206,16
Anti-viral,Anti-viral,5,5.516736710478392,16
Anti-viral,Anti-viral,6,5.760537301082864,16
Anti-viral,Anti-viral,8,5.723828969359013,16
Anti-viral,Anti-viral,10,5.718875417489381,16
Anti-viral,Anti-viral,12,5.713691212069134,16
Anti-viral,Anti-viral,14,5.750830554648711,16
Anti-viral,Anti-viral,16,5.697294162407172,16
Anti-viral,Anti-viral,20,5.65356990483882,16
Anti-viral,Anti-viral,24,5.5886382809172295,16
Anti-viral,Anti-viral,30,5.669772839642017,16
Anti-viral,Anti-viral,36,5.752910745303524,16
Anti-viral,Anti-viral,42,5.682172524365271,16
Anti-viral,Anti-viral,48,5.673144838132918,16
Anti-viral,Anti-viral,72,5.65683977364887,16
Anti-viral,Anti-viral,96,5.754271094011594,16
Anti-viral,Anti-viral,120,5.7153091125530855,16
Cellular,Recognition,0,6.154067323179959,7
Cellular,Signaling,0,4.498159569819597,18
Cellular,Recognition,1,6.094512615726245,7
Cellular,Signaling,1,4.521675765465227,18
Cellular,Signaling,2,4.64653386446621,18
Cellular,Recognition,2,6.009872621911595,7
Cellular,Signaling,3,4.583629814659809,18
Cellular,Recognition,3,5.902190859702935,7
Cellular,Signaling,4,4.59903018941416,18
Cellular,Recognition,4,6.629987999941209,7
Cellular,Signaling,5,4.423496376939389,18
Cellular,Recognition,5,6.7259208834666,7
Cellular,Recognition,6,6.896801751801793,7
Cellular,Signaling,6,4.689261102219701,18
Cellular,Signaling,8,4.60363957898919,18
Cellular,Recognition,8,6.783447230983656,7
Cellular,Signaling,10,4.6511667617496775,18
Cellular,Recognition,10,7.030723222857307,7
Cellular,Signaling,12,4.649680369824647,18
Cellular,Recognition,12,7.002452190623198,7
Cellular,Recognition,14,6.562072232889881,7
Cellular,Signaling,14,4.6642486584445395,18
Cellular,Recognition,16,6.343065464979651,7
Cellular,Signaling,16,4.5790856232142225,18
Cellular,Signaling,20,4.596411518004715,18
Cellular,Recognition,20,6.380566236294707,7
Cellular,Recognition,24,6.225812079555938,7
Cellular,Signaling,24,4.586381142025465,18
Cellular,Recognition,30,6.667386267652404,7
Cellular,Signaling,30,4.6866260201698635,18
Cellular,Recognition,36,6.426945708721923,7
Cellular,Signaling,36,4.672806444534814,18
Cellular,Recognition,42,6.355794830514499,7
Cellular,Signaling,42,4.594506844259342,18
Cellular,Signaling,48,4.621042541316012,18
Cellular,Recognition,48,6.109848170897373,7
Cellular,Recognition,72,6.099747137471892,7
Cellular,Signaling,72,4.612147556558996,18
Cellular,Recognition,96,6.1833504910459505,7
Cellular,Signaling,96,4.732884379948483,18
Cellular,Recognition,120,6.225505267951361,7
Cellular,Signaling,120,4.712320514653153,18
Cellular; Coagulation,Signaling,0,4.01874354557666,1
Cellular; Coagulation,Other,0,5.653257829705318,1
Cellular; Coagulation,Signaling,1,3.913635570516569,1
Cellular; Coagulation,Other,1,6.176733548080419,1
Cellular; Coagulation,Signaling,2,3.744054593610209,1
Cellular; Coagulation,Other,2,6.548026426267466,1
Cellular; Coagulation,Signaling,3,3.741560289073804,1
Cellular; Coagulation,Other,3,6.693380568823592,1
Cellular; Coagulation,Signaling,4,3.707013585841074,1
Cellular; Coagulation,Other,4,6.162479149996537,1
Cellular; Coagulation,Signaling,5,3.5994781701641223,1
Cellular; Coagulation,Other,5,6.24963868992051,1
Cellular; Coagulation,Signaling,6,3.876100027888482,1
Cellular; Coagulation,Other,6,6.090199858195314,1
Cellular; Coagulation,Signaling,8,3.760144290410883,1
Cellular; Coagulation,Other,8,6.055800488372092,1
Cellular; Coagulation,Signaling,10,3.8056380410518806,1
Cellular; Coagulation,Other,10,6.473143507570125,1
Cellular; Coagulation,Signaling,12,3.7579915522084395,1
Cellular; Coagulation,Other,12,6.5634334284773725,1
Cellular; Coagulation,Signaling,14,3.783719835742196,1
Cellular; Coagulation,Other,14,6.489711458285882,1
Cellular; Coagulation,Signaling,16,3.78560354453553,1
Cellular; Coagulation,Other,16,6.03900375458211,1
Cellular; Coagulation,Signaling,20,3.852935126392402,1
Cellular; Coagulation,Other,20,5.668046562366566,1
Cellular; Coagulation,Signaling,24,3.9240641181567373,1
Cellular; Coagulation,Other,24,5.925897332964703,1
Cellular; Coagulation,Signaling,30,3.9477331849894854,1
Cellular; Coagulation,Other,30,5.911693840472932,1
Cellular; Coagulation,Signaling,36,3.966885242177208,1
Cellular; Coagulation,Other,36,6.01051449646429,1
Cellular; Coagulation,Signaling,42,3.9042100278752137,1
Cellular; Coagulation,Other,42,5.597107496107796,1
Cellular; Coagulation,Signaling,48,4.06738174865109,1
