sample_id,hours,replicate,PC1,PC2
18A,48,A,7.858306941280161,-8.350076733156712
2B,1,B,1.4245962888964512,10.884073544489976
7A,6,A,-19.83247872322017,2.447931342423728
1A,0,A,-9.40520557145707,-11.27403832778596
9B,10,B,-4.718417770809408,-0.45486727755395706
5B,4,B,-13.503727046890289,9.687479178811696
5A,4,A,-16.355467931666723,10.122406209812937
13A,20,A,-0.45002559589513863,-8.562369297524626
3B,2,B,-1.3534008601347691,14.353376036943828
4A,3,A,-13.399409813609049,14.18749894284252
12B,16,B,-3.710346223306601,-5.985737430080807
6A,5,A,-17.315500528487007,2.629616363975615
15A,30,A,-0.04970384649445529,-3.798348257695837
12A,16,A,-6.93269592455435,-13.441466347946808
14B,24,B,11.852494240008232,-2.8351850719494376
20B,96,B,25.089134567197828,18.207096632300715
9A,10,A,-11.647672105210969,-10.47647940245206
11B,14,B,-2.4783939215963144,1.0802428521458785
8A,8,A,-18.019110535755836,-5.292376765175386
15B,30,B,8.771546512519642,-0.8182925312547815
3A,2,A,-9.7939725234506,13.559947856765099
21A,120,A,25.05523254499584,-3.4990600116303803
11A,14,A,-8.531837745541338,-8.529830449996258
1B,0,B,-0.5593203281858512,-14.408882659653539
21B,120,B,25.546153741730144,13.617155512458947
19A,72,A,15.532361290075482,-2.113008944655325
2A,1,A,-6.144968161215744,6.618361214466048
16B,36,B,10.228656615556895,-0.28232952219658103
10A,12,A,-9.032195572218964,-8.866553572547197
6B,5,B,-12.229214002363507,5.812458159477362
16A,36,A,2.3515741701818564,-5.300587302271812
18B,48,B,16.4390386217806,-0.9462342695826906
14A,24,A,0.8527954745121166,-14.550523926129372
19B,72,B,19.7333737413651,-1.2468128226227817
17B,42,B,10.665128604440724,-1.5154340200973437
17A,42,A,6.983943443899788,-10.899847398060817
10B,12,B,-3.957862805141948,-1.3792241978509998
7B,6,B,-12.842194345441843,15.60103138463433
8B,8,B,-12.471337929188529,3.249844564848543
20A,96,A,22.267793018565,1.7780686951370748
13B,20,B,4.082329994830583,0.9909780483371349
