gene_id,variance,mean_expr,n_samples
FBgn0039666,11.280490927977379,4.829330988511845,41
FBgn0031701,8.72990785855013,7.861566384256436,41
FBgn0044812,6.372249504476786,8.633226593379359,41
FBgn0040104,6.258345584785915,3.1366412819409084,41
FBgn0028396,5.0629624871001955,9.698764167190632,41
FBgn0037396,4.64689099878518,5.206379616777096,41
FBgn0262531,4.332435930692784,2.8087905473855783,41
FBgn0044810,4.184020825223666,6.621296229784338,41
FBgn0032638,3.8627183101444524,3.693586945055691,41
FBgn0052185,3.779996388657499,5.212270879588042,41
FBgn0050098,3.7012039460020874,2.7126708529884214,41
FBgn0004240,3.0968448587724313,8.741403691971449,41
FBgn0034317,3.0050927339336493,3.2568561976670187,41
FBgn0033353,2.9663986129840003,2.652679276723263,41
FBgn0004431,2.85921176775966,2.080578543317678,41
FBgn0002562,2.8316124773378144,2.038739376542993,41
FBgn0265577,2.811835421793653,4.048123283203706,41
FBgn0041579,2.7842402615030233,9.313060865267861,41
FBgn0012042,2.7285469451407707,7.953911199610114,41
FBgn0034328,2.6383484235307364,6.731696107560817,41
FBgn0000279,2.56871070575461,4.010452114381542,41
FBgn0264541,2.5551459418030684,4.478615645650319,41
FBgn0014865,2.4459722537047055,8.117405687931441,41
FBgn0050287,2.4041749611314347,1.7024978523268028,41
FBgn0038530,2.376826693503899,3.8498931745139657,41
FBgn0010388,2.3762093637541026,8.817842222792994,41
FBgn0034407,2.3510677522631633,8.743616742239505,41
FBgn0041581,2.3284998443094596,8.23329474706208,41
FBgn0032068,2.225472998470919,4.461677893644375,41
FBgn0032066,2.1848755295838926,3.469771558187049,41
FBgn0031654,2.1343005031754307,3.0266639800897117,41
FBgn0032069,2.0503342552151294,5.557746721995716,41
FBgn0266405,2.042495007001406,6.577564893175498,41
FBgn0000278,2.0392863206995733,2.022768647288201,41
FBgn0000277,2.0282401418486256,5.755886939845439,41
FBgn0261925,2.0022541735124118,1.233704611735363,41
FBgn0054040,1.9499565657861868,5.165914910055258,41
FBgn0014396,1.9461556868158016,7.5548085934187394,41
FBgn0002565,1.9281258506822254,4.694191101044394,41
FBgn0260954,1.8842069306538523,2.605735389237147,41
FBgn0028537,1.8837234155029354,2.605624021361167,41
FBgn0035743,1.8814744011852966,2.74924224887467,41
FBgn0020906,1.869214932631694,4.23810009263547,41
FBgn0053532,1.8151190653323703,2.4094844200346976,41
FBgn0034329,1.7556737314917044,8.095876275884942,41
FBgn0038914,1.7146045709727873,4.162706340084567,41
FBgn0036738,1.6469304511649785,5.676609217526465,41
FBgn0038840,1.5978742233018928,6.0403877422533725,41
FBgn0039298,1.5958223444505841,7.565308492842139,41
FBgn0039768,1.548692344485061,4.342470175752647,41
FBgn0262007,1.5479145135047534,5.860409483871615,41
FBgn0262881,1.5403156125593978,3.52343982109179,41
FBgn0034318,1.5352185462575,4.246171092542206,41
